clsprty,stfeco,gndr,agea,edulvlb,
2,5,2,51,313,
2,9,1,43,322,
2,7,1,55,322,
2,6,2,21,313,
2,7,2,17,212,
2,9,1,40,423,
1,8,2,51,800,
1,7,2,56,720,
2,9,2,26,322,
2,3,1,54,322,
1,8,2,48,322,
1,8,1,56,313,
1,8,1,69,720,
1,8,2,62,322,
2,9,2,39,710,
1,7,1,52,322,
1,8,2,70,313,
2,4,2,75,212,
1,8,2,86,322,
2,8,1,33,423,
2,8,1,35,322,
2,5,2,29,610,
7,8,1,999,212,
1,6,2,26,620,
2,9,2,24,322,
1,6,1,53,520,
8,5,2,55,322,
1,9,1,54,322,
1,7,2,77,212,
1,7,2,37,800,
1,8,2,63,720,
2,6,1,74,322,
1,9,1,41,322,
1,8,1,60,212,
1,7,1,70,322,
1,7,1,60,5555,
1,6,2,67,322,
1,6,2,41,212,
2,9,1,55,322,
1,4,1,53,322,
1,2,2,51,212,
2,4,1,16,212,
1,8,2,50,322,
2,9,2,28,322,
1,7,2,73,322,
1,88,2,72,322,
2,6,2,35,313,
1,6,1,35,322,
1,6,2,83,322,
2,7,2,53,322,
2,7,1,62,322,
2,6,1,40,322,
2,9,1,38,423,
1,9,1,32,322,
1,5,1,37,212,
1,8,2,77,322,
2,5,2,46,720,
1,7,2,57,422,
1,7,1,61,322,
1,3,1,79,212,
2,7,2,28,322,
1,7,1,71,322,
1,7,2,56,212,
2,7,2,21,212,
2,7,1,48,322,
2,6,1,46,322,
2,8,1,25,322,
1,7,1,71,212,
2,3,1,50,322,
2,6,2,45,423,
1,5,2,63,322,
1,8,2,40,313,
1,9,1,83,720,
2,7,1,72,322,
2,7,1,38,322,
1,7,2,66,322,
1,8,2,63,212,
2,7,1,34,322,
1,10,1,59,322,
2,8,1,73,322,
1,6,1,31,322,
2,3,2,55,322,
1,9,2,68,422,
1,10,1,55,322,
2,7,1,83,322,
2,7,2,68,322,
2,8,1,26,423,
2,9,1,26,322,
1,6,1,29,720,
1,9,2,60,423,
1,7,1,49,710,
2,10,1,62,322,
1,8,2,56,322,
1,9,1,64,610,
2,5,1,25,313,
1,4,2,80,322,
1,9,2,49,423,
1,10,1,65,313,
7,8,1,82,322,
2,7,2,77,322,
1,8,1,62,322,
1,6,2,85,322,
2,7,2,49,322,
1,6,1,66,322,
1,7,2,44,322,
1,9,1,59,322,
1,8,2,75,322,
2,1,1,32,322,
2,5,2,49,212,
1,10,1,57,520,
1,5,1,23,322,
2,10,1,61,212,
1,5,2,64,313,
1,7,1,68,322,
1,6,2,85,113,
1,8,2,27,322,
1,7,1,62,322,
1,8,2,46,313,
2,8,2,54,322,
1,5,2,16,422,
2,7,1,52,520,
2,9,1,53,322,
1,8,2,49,313,
1,5,2,71,322,
1,7,1,71,322,
1,8,2,40,322,
2,9,1,78,212,
2,8,2,32,322,
1,7,1,30,322,
2,9,1,56,423,
2,3,1,43,322,
2,7,1,69,322,
2,6,2,44,322,
2,3,2,24,322,
2,7,1,42,720,
2,8,2,32,322,
1,5,2,52,322,
2,7,1,39,423,
2,6,1,79,322,
2,7,2,44,720,
1,2,2,50,322,
1,0,2,65,113,
1,7,1,66,212,
1,9,2,56,322,
2,8,2,28,322,
2,6,2,58,212,
2,7,1,24,322,
2,9,1,25,423,
2,8,2,36,620,
1,7,2,55,322,
2,7,1,16,213,
2,7,1,66,322,
1,6,2,51,423,
2,7,2,58,322,
2,8,2,28,322,
8,5,2,46,322,
2,8,2,58,322,
1,9,2,29,322,
1,8,2,62,322,
1,3,2,57,520,
2,5,2,61,322,
2,6,1,52,322,
1,8,1,26,322,
1,8,1,84,322,
1,7,2,80,212,
2,6,1,44,322,
2,6,1,41,322,
2,6,2,58,313,
1,9,2,26,313,
1,7,2,78,800,
2,6,2,41,322,
8,8,1,37,322,
2,8,1,69,313,
2,8,1,71,720,
2,3,1,51,610,
1,5,1,68,212,
2,6,2,56,322,
1,9,2,23,423,
2,6,2,58,322,
2,9,2,65,422,
2,7,2,68,212,
1,5,1,68,322,
1,88,2,39,322,
1,8,1,77,322,
2,2,1,25,322,
1,9,2,65,322,
2,3,2,51,322,
1,7,1,57,322,
2,9,2,26,720,
1,7,1,52,720,
1,10,1,64,322,
2,9,1,67,322,
2,5,2,15,212,
2,6,2,30,322,
1,8,2,54,423,
2,5,1,29,322,
2,10,1,33,322,
1,7,2,55,710,
2,5,1,52,322,
2,6,1,67,423,
1,6,2,61,322,
2,9,2,79,212,
1,5,2,43,313,
2,7,2,52,322,
1,7,1,63,322,
2,6,1,66,322,
1,8,2,81,322,
1,7,1,25,322,
1,7,1,82,212,
1,8,1,29,322,
2,7,1,48,720,
2,8,1,59,322,
1,3,2,22,322,
1,8,2,15,313,
2,9,1,45,212,
2,7,2,25,322,
1,9,2,63,322,
1,4,1,38,313,
1,7,2,43,322,
1,5,2,38,322,
1,9,2,67,313,
2,7,1,72,322,
1,7,1,23,423,
1,8,2,69,610,
1,4,1,72,423,
1,7,1,76,322,
2,4,1,30,322,
1,10,2,53,322,
1,7,1,48,710,
2,9,2,73,313,
1,5,1,38,313,
2,10,1,38,720,
1,7,2,85,322,
1,7,2,54,322,
1,8,2,50,720,
2,5,2,72,322,
2,10,1,63,212,
1,8,1,48,113,
2,6,1,31,322,
1,9,1,24,800,
2,4,2,29,322,
2,6,1,39,520,
1,7,1,25,322,
2,5,2,74,423,
2,3,1,38,720,
2,8,2,33,322,
1,8,1,72,423,
2,8,2,80,212,
2,8,2,64,322,
1,7,2,75,212,
1,4,1,26,423,
2,8,2,34,720,
2,8,1,50,313,
1,7,1,31,322,
1,9,1,26,322,
2,6,2,65,322,
2,9,1,20,800,
1,6,2,78,322,
2,8,2,49,422,
1,8,2,42,800,
2,7,1,52,720,
2,6,2,60,212,
1,3,2,53,322,
2,3,1,61,212,
1,4,2,62,212,
1,7,1,63,720,
1,8,1,78,322,
2,88,2,17,212,
1,7,2,60,322,
1,8,1,77,322,
1,9,1,56,610,
1,3,2,80,610,
2,2,1,54,322,
1,88,2,88,212,
1,9,2,41,423,
2,7,1,47,212,
1,5,1,51,313,
2,3,2,25,212,
2,6,2,44,313,
1,2,2,68,322,
2,8,2,73,720,
1,7,1,71,212,
1,7,2,79,212,
2,8,2,64,423,
1,6,1,52,322,
2,2,1,45,520,
1,4,2,61,322,
2,8,2,81,212,
2,5,2,52,720,
2,10,1,32,113,
1,10,2,79,212,
1,8,2,36,423,
1,8,2,70,313,
2,6,2,22,212,
1,6,1,70,322,
1,7,1,58,620,
1,5,1,77,520,
2,7,1,71,423,
2,7,2,78,322,
2,8,2,39,322,
1,9,1,71,610,
1,7,1,36,322,
1,6,2,56,322,
2,7,2,62,322,
2,8,1,53,720,
1,6,1,74,322,
1,4,1,55,212,
1,10,2,19,322,
1,7,1,78,212,
1,8,2,58,422,
1,10,2,62,212,
2,8,2,26,322,
2,6,2,38,322,
1,10,1,63,423,
2,7,1,35,322,
2,7,1,73,322,
1,8,2,53,322,
1,10,2,59,313,
2,7,1,61,720,
1,7,2,19,322,
2,7,1,70,322,
2,6,2,59,212,
1,0,1,54,322,
2,8,1,34,423,
2,7,2,55,322,
1,7,1,28,322,
2,10,2,29,313,
2,3,1,28,212,
2,8,2,16,322,
1,3,1,77,322,
2,7,2,53,423,
1,7,2,73,212,
1,10,1,32,322,
1,9,1,44,322,
2,9,2,26,322,
1,8,2,86,113,
1,7,2,53,322,
1,6,1,41,423,
2,8,2,90,212,
2,5,1,84,322,
1,8,2,51,423,
7,3,1,999,322,
2,8,2,43,422,
2,8,1,24,322,
7,5,2,52,322,
1,5,2,44,322,
2,7,1,22,423,
2,6,2,50,322,
2,7,2,41,710,
1,10,2,52,322,
2,9,1,17,212,
1,8,1,84,113,
2,8,1,31,322,
2,8,1,40,322,
2,7,2,26,620,
2,6,2,39,322,
2,7,2,48,322,
2,5,1,47,322,
1,6,2,26,322,
1,6,2,63,212,
1,8,2,54,322,
2,8,2,26,620,
2,10,2,25,322,
1,5,2,70,322,
1,7,2,28,322,
2,6,2,46,322,
1,8,2,42,322,
1,8,2,41,720,
1,8,2,54,212,
1,10,1,74,322,
1,10,1,37,423,
1,7,2,76,422,
1,7,1,60,322,
1,7,1,29,620,
2,7,1,36,322,
1,7,2,75,212,
1,8,2,61,610,
1,6,1,42,423,
1,8,1,47,313,
8,6,2,70,322,
1,8,1,70,322,
1,7,1,24,620,
2,9,2,16,212,
1,7,2,32,322,
2,8,2,67,322,
7,5,2,999,423,
2,7,2,67,322,
2,7,1,41,322,
2,8,2,53,322,
1,8,2,41,720,
2,4,1,29,322,
2,7,1,65,322,
1,7,2,44,322,
1,9,2,26,322,
2,7,2,72,322,
2,4,2,75,313,
2,6,1,67,322,
2,6,2,48,322,
2,7,1,35,322,
1,7,1,67,322,
2,8,2,39,313,
2,5,2,51,322,
1,7,1,81,720,
2,5,2,76,212,
2,5,2,22,322,
1,6,1,38,322,
1,5,1,77,212,
2,6,2,52,212,
1,8,2,79,212,
1,8,2,80,212,
2,9,2,69,212,
1,8,1,87,212,
1,6,1,28,322,
1,6,2,999,422,
1,5,2,72,322,
1,7,1,65,322,
2,9,2,62,322,
1,8,2,32,620,
1,4,2,55,322,
2,9,1,30,322,
1,6,2,67,322,
2,4,2,47,423,
7,8,1,54,322,
1,6,2,50,422,
1,6,2,72,322,
2,5,2,46,322,
2,8,1,31,322,
2,5,1,66,212,
2,4,2,60,322,
1,7,2,75,322,
1,5,1,88,800,
2,1,2,80,322,
2,8,1,72,423,
1,10,2,42,423,
1,88,2,56,422,
2,9,1,25,322,
1,6,1,46,212,
1,9,2,77,212,
1,6,2,71,322,
1,6,2,34,610,
1,10,2,46,322,
1,7,1,79,520,
1,8,1,69,322,
1,8,1,36,322,
2,6,2,48,322,
2,7,1,41,322,
1,8,1,54,423,
1,7,1,60,113,
1,10,1,49,322,
2,5,2,58,423,
1,7,2,28,322,
1,8,1,43,710,
2,7,1,25,423,
1,8,2,22,610,
1,8,1,52,322,
1,7,1,70,322,
1,10,1,78,322,
2,5,1,63,322,
1,8,1,80,322,
2,88,2,84,322,
1,8,2,45,520,
2,8,2,28,212,
2,8,2,40,720,
2,8,2,56,322,
2,8,1,45,322,
1,6,1,54,322,
1,8,2,76,322,
2,7,1,57,322,
1,8,2,26,610,
1,8,1,68,322,
1,8,2,23,322,
1,10,2,38,422,
2,7,2,36,322,
1,6,2,68,212,
2,1,1,45,322,
1,8,1,83,212,
1,7,1,39,423,
1,9,1,30,423,
1,8,1,80,322,
1,6,2,32,322,
1,3,2,65,710,
1,10,2,46,423,
2,8,1,86,322,
2,6,2,56,423,
2,6,2,20,212,
1,8,1,77,520,
1,9,1,52,423,
2,8,1,42,313,
2,7,1,39,322,
2,8,1,71,322,
2,8,2,36,313,
2,6,2,21,322,
1,5,2,33,423,
1,9,2,38,212,
1,7,1,58,322,
2,9,1,69,322,
2,8,2,60,322,
1,7,2,52,322,
1,7,1,66,212,
2,7,1,60,423,
1,8,1,70,322,
1,7,1,65,322,
1,7,2,54,710,
2,9,1,57,322,
1,6,2,69,212,
1,2,1,65,322,
1,7,1,74,322,
1,7,2,52,720,
2,88,2,72,322,
2,6,2,73,322,
2,0,2,67,322,
2,1,1,77,322,
1,5,1,25,322,
2,8,2,26,322,
2,4,2,74,322,
1,8,2,28,322,
2,7,1,67,620,
1,9,1,56,322,
1,6,2,77,212,
1,6,2,74,212,
2,6,2,78,212,
2,8,2,27,322,
1,7,1,29,322,
2,7,1,44,422,
2,9,1,76,212,
1,4,2,54,322,
2,8,2,22,212,
1,9,1,52,322,
2,5,2,42,322,
1,8,2,56,620,
1,10,2,66,212,
1,6,2,33,322,
1,6,1,80,322,
2,5,2,32,322,
2,6,1,76,322,
2,3,2,38,422,
1,9,2,37,800,
2,7,1,35,322,
1,5,2,34,520,
2,6,1,62,322,
1,8,2,81,322,
2,7,2,37,322,
2,8,1,31,322,
1,7,1,37,322,
1,8,2,46,720,
1,7,1,55,322,
2,6,1,39,322,
1,8,2,62,322,
2,6,2,60,212,
2,4,1,16,710,
2,7,2,58,322,
2,6,2,36,212,
1,3,1,73,720,
2,8,2,17,212,
2,88,2,64,212,
1,7,1,71,322,
2,5,1,51,322,
1,0,2,59,322,
1,10,1,56,322,
1,7,2,42,322,
1,7,2,79,322,
1,6,1,38,322,
1,7,1,56,322,
2,7,1,73,313,
2,7,2,34,322,
2,7,2,61,322,
1,5,1,78,423,
1,7,1,47,322,
1,0,1,54,212,
1,8,2,62,212,
7,8,1,30,720,
2,7,1,49,423,
2,8,1,24,322,
2,7,1,23,322,
1,9,1,36,212,
1,7,1,29,322,
2,6,2,83,322,
7,5,2,55,610,
1,3,2,35,322,
2,9,1,78,322,
1,8,2,54,423,
2,9,2,79,212,
2,8,2,50,610,
2,9,1,37,322,
2,5,2,61,212,
2,7,2,29,322,
2,10,2,28,322,
2,9,2,37,322,
1,7,2,75,212,
2,5,1,37,212,
2,9,1,53,423,
2,7,2,37,720,
1,7,2,18,322,
2,8,2,35,322,
1,7,2,22,322,
1,88,2,80,212,
2,8,2,38,212,
2,5,2,47,322,
1,5,2,38,322,
1,9,1,56,710,
2,7,1,36,710,
1,0,1,51,212,
1,7,1,48,322,
1,7,2,69,212,
1,10,1,68,322,
1,8,2,52,212,
1,8,1,50,212,
2,6,2,16,322,
1,9,1,69,212,
2,7,2,48,322,
1,3,2,64,610,
1,8,2,81,212,
2,4,2,34,322,
2,7,1,58,322,
1,88,2,74,313,
2,4,2,48,322,
2,7,2,26,322,
2,5,2,49,423,
1,7,1,66,212,
1,8,1,22,322,
1,10,1,64,423,
1,8,2,51,322,
2,5,1,60,800,
2,9,2,78,212,
1,8,1,55,322,
1,9,1,67,322,
2,7,1,35,313,
1,10,2,60,720,
2,6,2,45,322,
1,88,2,59,610,
2,5,2,83,212,
2,8,1,42,322,
1,9,2,62,610,
2,7,2,48,212,
1,7,2,44,212,
2,7,1,58,423,
1,4,2,42,322,
2,10,2,42,212,
2,7,2,16,213,
1,6,2,82,212,
1,10,1,72,313,
2,8,2,37,720,
1,5,1,71,322,
1,6,2,47,313,
1,8,1,47,213,
2,3,1,20,322,
1,6,1,49,520,
1,5,2,55,322,
2,6,2,49,322,
2,5,1,72,322,
1,8,2,53,423,
1,8,1,32,720,
2,6,2,53,322,
1,8,2,83,212,
1,8,2,43,322,
1,10,1,50,322,
2,6,1,41,313,
1,5,1,67,610,
1,7,2,70,322,
1,9,2,62,322,
1,7,2,79,313,
1,7,1,18,212,
2,8,2,69,212,
1,8,1,50,322,
1,4,1,63,322,
1,4,2,74,212,
2,6,2,55,212,
1,8,1,71,322,
1,4,1,34,322,
1,8,2,64,322,
1,88,1,59,322,
2,8,2,36,322,
1,8,1,65,322,
2,10,2,26,620,
1,5,2,70,322,
2,8,2,74,422,
2,6,2,78,610,
1,4,2,75,313,
2,5,1,39,322,
2,9,1,69,212,
1,8,1,79,520,
2,7,2,24,322,
1,7,2,43,322,
1,7,1,20,212,
1,10,1,77,800,
1,4,1,49,720,
1,5,2,67,322,
1,4,2,48,322,
1,1,1,47,322,
2,9,2,24,710,
1,8,1,48,322,
2,6,2,77,322,
2,7,1,30,610,
2,6,2,52,322,
2,7,1,63,322,
2,6,1,48,322,
1,8,2,42,212,
2,6,1,78,322,
2,7,1,81,322,
1,7,2,23,322,
1,6,1,38,322,
2,6,1,21,212,
2,7,2,48,322,
2,8,1,999,212,
2,5,2,44,212,
2,6,2,47,322,
2,7,2,55,422,
1,7,1,60,720,
1,6,2,72,322,
1,9,1,75,520,
1,1,1,74,322,
2,7,2,69,212,
1,8,1,74,322,
2,7,2,48,422,
1,7,1,43,212,
1,6,1,72,322,
2,9,2,60,322,
1,8,2,75,322,
1,6,1,67,520,
1,10,1,64,322,
2,5,2,37,212,
2,6,2,56,212,
2,7,1,42,322,
2,7,2,53,212,
2,8,1,49,800,
1,7,1,78,423,
1,7,1,56,322,
1,6,1,18,212,
2,6,2,41,710,
1,9,2,42,610,
1,9,1,35,800,
1,5,1,50,212,
1,5,2,44,322,
2,6,2,53,212,
2,7,1,53,720,
1,5,1,76,212,
1,5,1,82,212,
2,6,2,42,422,
2,5,1,26,322,
2,5,2,55,322,
1,5,2,65,610,
1,8,2,67,212,
2,9,2,73,322,
2,7,2,90,212,
1,7,1,27,322,
2,9,2,29,322,
2,6,2,42,422,
2,9,1,40,322,
1,9,2,60,322,
2,6,2,41,322,
1,7,1,39,322,
1,8,2,76,313,
1,9,1,57,322,
2,8,1,77,322,
2,5,1,72,322,
2,7,1,76,322,
1,6,2,77,520,
1,7,2,70,322,
1,7,1,39,710,
2,8,2,48,212,
1,8,2,73,322,
1,7,2,78,322,
2,88,2,30,313,
1,7,1,78,322,
1,8,1,23,313,
1,7,2,53,212,
2,7,2,34,212,
2,4,2,47,322,
2,8,2,53,313,
1,8,1,67,322,
1,8,1,54,322,
1,8,1,51,720,
1,5,1,62,322,
2,7,2,28,322,
1,7,2,39,423,
2,9,2,54,720,
1,6,1,24,322,
2,10,2,44,322,
1,7,2,25,620,
1,4,1,62,322,
1,8,2,50,322,
1,7,2,52,212,
2,7,2,72,322,
2,10,2,62,212,
1,9,2,82,212,
1,6,1,67,322,
1,6,2,76,322,
1,8,2,26,322,
1,7,1,60,322,
1,88,2,73,322,
1,8,1,72,710,
1,10,2,26,322,
2,6,2,72,322,
2,3,2,35,423,
1,88,1,69,322,
1,8,2,54,720,
2,8,1,20,322,
1,7,1,83,212,
1,7,2,58,212,
2,7,2,43,423,
1,7,1,73,322,
1,9,2,65,423,
1,6,1,21,322,
2,9,1,44,322,
2,9,2,20,322,
2,7,1,42,720,
1,6,1,35,322,
1,7,1,45,423,
1,10,1,52,322,
2,0,2,25,322,
2,10,1,35,322,
2,4,2,37,322,
7,7,2,64,610,
1,6,1,68,322,
2,8,2,44,322,
2,3,1,40,322,
1,5,1,55,322,
2,6,1,48,212,
2,6,1,62,322,
2,7,2,71,322,
2,10,1,36,610,
1,8,1,57,322,
2,2,1,48,322,
1,6,1,58,423,
2,8,1,22,322,
1,8,2,40,620,
2,8,2,82,322,
2,7,1,73,322,
1,7,1,77,212,
1,8,1,73,720,
8,8,2,49,423,
1,6,1,54,322,
2,8,1,80,322,
1,8,2,29,620,
1,2,2,57,322,
2,7,1,35,322,
2,6,1,47,322,
7,7,2,39,322,
1,7,1,45,800,
1,6,1,49,322,
1,3,2,57,423,
1,5,2,87,212,
2,7,1,16,113,
2,6,2,48,212,
1,7,1,57,720,
2,6,1,30,322,
2,10,2,24,322,
7,3,1,999,520,
2,5,1,50,322,
2,7,2,32,610,
2,8,2,53,213,
2,3,1,50,212,
2,6,1,52,322,
1,6,1,27,313,
1,10,2,38,423,
2,7,2,57,610,
2,7,1,52,313,
8,7,2,58,720,
2,8,1,80,322,
1,6,2,22,322,
2,8,2,36,423,
2,6,1,16,212,
1,7,2,78,212,
2,9,1,39,322,
2,8,1,37,710,
1,8,1,50,322,
1,8,2,61,720,
2,6,1,44,423,
2,8,2,27,322,
2,6,1,45,322,
1,9,1,21,313,
1,9,2,55,720,
1,88,2,44,610,
1,8,2,68,720,
1,88,2,25,423,
1,7,2,53,720,
1,7,1,76,322,
1,7,2,86,212,
2,7,1,32,322,
1,7,1,42,322,
1,7,1,58,800,
1,2,1,50,322,
1,8,1,37,422,
1,8,1,53,322,
2,6,1,49,212,
2,7,2,33,720,
1,8,2,78,212,
1,9,1,65,720,
1,9,2,24,322,
1,8,2,83,212,
1,5,1,28,322,
2,8,1,58,322,
1,8,2,33,610,
2,5,1,61,423,
1,5,2,44,212,
1,6,1,76,322,
2,6,1,46,423,
2,7,2,49,720,
2,8,1,22,313,
2,6,2,46,720,
1,8,1,50,322,
2,8,1,41,800,
1,7,1,63,322,
2,8,1,60,322,
1,7,2,65,212,
2,7,1,75,322,
1,8,1,43,800,
1,8,1,48,620,
1,7,1,70,313,
1,9,2,22,313,
2,5,2,64,212,
1,5,2,60,322,
2,6,1,33,322,
1,7,1,56,322,
2,8,2,32,620,
2,8,2,45,212,
2,6,2,34,113,
2,88,2,57,520,
1,6,2,55,610,
2,1,1,86,720,
1,8,1,29,313,
2,8,1,22,313,
2,6,1,45,610,
1,8,1,37,322,
2,5,2,43,322,
2,8,2,16,213,
2,7,1,37,422,
2,5,2,24,322,
2,5,1,53,212,
2,8,2,79,212,
1,10,2,45,212,
1,9,2,58,610,
1,8,1,36,620,
2,7,1,29,720,
2,8,1,34,322,
2,5,1,40,322,
7,7,2,45,322,
1,7,1,49,322,
2,6,1,68,322,
2,5,2,72,212,
2,7,1,53,313,
2,8,2,30,720,
2,8,1,60,322,
1,8,1,37,322,
1,9,2,36,423,
2,5,1,68,322,
2,8,1,16,213,
2,7,2,61,212,
2,8,2,27,0,
2,7,2,28,322,
1,8,2,70,322,
1,7,2,23,322,
1,10,2,55,710,
2,6,2,26,620,
1,6,1,54,520,
1,9,2,43,720,
2,88,2,76,322,
2,10,1,50,322,
2,5,2,50,322,
2,4,2,54,322,
1,8,1,55,322,
2,5,2,30,322,
1,6,1,74,322,
1,10,1,58,322,
1,7,1,28,423,
1,7,1,63,322,
2,6,2,64,422,
1,7,1,65,322,
1,6,1,61,322,
1,7,2,49,423,
2,8,2,72,610,
2,8,1,27,620,
1,8,1,41,322,
1,9,2,54,620,
1,7,2,69,212,
1,7,1,32,322,
1,7,2,63,212,
1,5,2,69,322,
2,7,1,27,322,
1,5,1,49,322,
1,9,1,64,212,
2,6,2,42,422,
1,8,2,70,322,
2,8,1,21,322,
1,10,1,42,322,
1,7,1,41,322,
7,7,1,66,322,
2,5,1,58,322,
2,6,2,52,423,
2,7,1,50,720,
1,5,1,38,322,
2,8,2,77,313,
1,6,1,54,322,
1,5,2,48,620,
1,8,2,51,720,
1,9,1,80,313,
2,8,1,38,313,
2,7,1,24,313,
2,7,1,23,322,
1,7,1,56,313,
2,8,2,74,423,
1,7,2,57,212,
1,7,2,80,212,
1,8,2,50,620,
1,8,2,76,322,
2,7,2,54,710,
1,5,2,28,322,
2,6,2,68,322,
1,8,1,68,800,
2,5,2,60,322,
1,8,2,77,322,
2,7,2,18,322,
1,10,1,26,423,
2,7,1,68,322,
1,7,2,63,313,
8,7,1,86,322,
1,8,2,72,322,
2,5,1,31,322,
1,9,1,49,423,
2,8,2,39,322,
2,5,2,79,212,
1,7,2,44,800,
1,5,1,71,520,
1,4,1,31,322,
1,8,2,57,322,
2,8,2,31,423,
1,8,2,55,213,
